2018-16-02 22:57:03.442 INFO  pl.isa.autoparts.categories.Parser - Categories XML file loaded
2018-16-02 22:57:03.681 INFO  pl.isa.autoparts.categories.Parser - Allegro categories added
2018-16-02 22:57:04.970 INFO  pl.isa.autoparts.categories.Parser - Categories XML file loaded
2018-16-02 22:57:05.030 INFO  pl.isa.autoparts.categories.Parser - Allegro categories added
2018-16-02 22:57:39.089 INFO  pl.isa.autoparts.InitateAztec - Aztec Reader executed
2018-16-02 22:57:48.590 DEBUG pl.isa.autoparts.aztec.AtenaSessionReader - Created API link: https://aztec.atena.pl/PWM2/rest/aztec/getbysession?sessionKey=ww&userKey=qY2?0Pw!
2018-21-03 03:56:06.959 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - Executing vehicle blacklist creator...
2018-21-03 03:56:10.272 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - Search in make: ABARTH
2018-21-03 03:56:10.272 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: 124 Spider (348_) (US)
2018-21-03 03:56:10.835 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:10.836 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: 500 (312)
2018-21-03 03:56:11.355 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:11.356 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:11.356 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:11.356 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:11.357 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:11.357 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:11.357 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: 500C (312)
2018-21-03 03:56:11.875 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:11.876 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:11.876 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:11.877 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4 GQ
2018-21-03 03:56:11.877 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: GRANDE PUNTO (199)
2018-21-03 03:56:12.395 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:12.396 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:12.396 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: PUNTO (199)
2018-21-03 03:56:12.954 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:12.954 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:12.955 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: PUNTO (199)
2018-21-03 03:56:13.522 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:13.523 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 1.4
2018-21-03 03:56:13.523 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: RITMO (138A)
2018-21-03 03:56:14.030 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 125 TC 2.0
2018-21-03 03:56:14.031 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 130 TC 2.0
2018-21-03 03:56:14.031 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: STRADA (138A)
2018-21-03 03:56:14.548 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 125 TC 2.0
2018-21-03 03:56:14.549 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 130 TC 2.0
2018-21-03 03:56:15.042 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - Search in make: AC
2018-21-03 03:56:15.043 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: 428 Convertible
2018-21-03 03:56:15.593 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 7.0
2018-21-03 03:56:15.593 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: 428 Fastback
2018-21-03 03:56:16.112 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 7.0
2018-21-03 03:56:16.113 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: ACE
2018-21-03 03:56:16.632 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 4.9
2018-21-03 03:56:16.633 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: ACE
2018-21-03 03:56:17.153 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 4.6
2018-21-03 03:56:17.155 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 4.9
2018-21-03 03:56:17.155 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 4.9 Super Charger
2018-21-03 03:56:17.155 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: ACECA
2018-21-03 03:56:17.674 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 4.6
2018-21-03 03:56:17.675 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 4.9
2018-21-03 03:56:17.676 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 4.9 Super Charger
2018-21-03 03:56:17.676 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 	Model: COBRA Mk IV (291N)
2018-21-03 03:56:18.193 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 4.9
2018-21-03 03:56:18.193 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 4.9
2018-21-03 03:56:18.198 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 4.9 Roadster
2018-21-03 03:56:18.199 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 4.9 Super Charger
2018-21-03 03:56:18.199 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 5.8
2018-21-03 03:56:18.199 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 6.2
2018-21-03 03:56:18.199 INFO  pl.isa.autoparts.vehiclesearch.BlacklistCreator - 		Engine: 6.2
